local_authority_code,local_authority_name,LSOACD,LSOANM,house_price_year_ending_dec_2016,house_price_year_ending_mar_2021
E09000012,Hackney,E01033703,Hackney 010F,475000,617500
E09000022,Lambeth,E01003171,Lambeth 020B,520000,550000
E09000019,Islington,E01002749,Islington 006D,552250,1245000
E09000021,Kingston upon Thames,E01002967,Kingston upon Thames 009B,500000,500000
E09000027,Richmond upon Thames,E01003818,Richmond upon Thames 017A,558725,560000
E09000005,Brent,E01000520,Brent 002D,302500,515000
E09000005,Brent,E01033464,Brent 010F,,
E09000006,Bromley,E01000811,Bromley 025C,500000,576000
E09000012,Hackney,E01001723,Hackney 006A,577500,580000
E09000014,Haringey,E01002020,Haringey 021A,770000,600000
E09000021,Kingston upon Thames,E01002968,Kingston upon Thames 009C,425000,533750
E09000026,Redbridge,E01003775,Redbridge 014B,501500,510000
E09000027,Richmond upon Thames,E01003906,Richmond upon Thames 010B,473000,375000
E09000029,Sutton,E01004101,Sutton 013A,432500,502500
E09000017,Hillingdon,E01002484,Hillingdon 002E,495000,536000
E09000018,Hounslow,E01002659,Hounslow 019E,450000,526000
E09000017,Hillingdon,E01002418,Hillingdon 006A,505250,551000
E09000022,Lambeth,E01003114,Lambeth 032B,461250,535000
E09000005,Brent,E01000516,Brent 002C,510000,463250
E09000013,Hammersmith and Fulham,E01001854,Hammersmith and Fulham 007C,640000,482500
E09000012,Hackney,E01001716,Hackney 007B,432500,445750
E09000003,Barnet,E01000183,Barnet 033A,575000,782500
E09000014,Haringey,E01002031,Haringey 016D,430000,490000
E09000017,Hillingdon,E01002444,Hillingdon 031A,320000,
E09000030,Tower Hamlets,E01004284,Tower Hamlets 019A,435000,480000
E09000032,Wandsworth,E01004494,Wandsworth 018A,476750,481750
E09000019,Islington,E01002778,Islington 012B,400000,
E09000003,Barnet,E01000270,Barnet 005D,547000,570000
E09000006,Bromley,E01000673,Bromley 011B,515000,622500
E09000006,Bromley,E01000687,Bromley 037D,405000,499750
E09000006,Bromley,E01000749,Bromley 036A,485000,540000
E09000009,Ealing,E01001387,Ealing 032E,485000,531000
E09000011,Greenwich,E01001580,Greenwich 021A,676065,510000
E09000012,Hackney,E01001717,Hackney 007C,485000,500000
E09000013,Hammersmith and Fulham,E01001931,Hammersmith and Fulham 011B,445000,331250
E09000014,Haringey,E01002000,Haringey 031A,550000,557500
E09000014,Haringey,E01002043,Haringey 026A,385000,515000
E09000015,Harrow,E01002122,Harrow 007D,485000,475000
E09000015,Harrow,E01002200,Harrow 010D,474250,487500
E09000015,Harrow,E01032576,Harrow 032E,510000,485000
E09000016,Havering,E01002391,Havering 018E,450000,487500
E09000018,Hounslow,E01002653,Hounslow 019A,464950,500000
E09000019,Islington,E01002772,Islington 002F,527500,601888
E09000021,Kingston upon Thames,E01002977,Kingston upon Thames 012B,312500,585000
E09000021,Kingston upon Thames,E01002998,Kingston upon Thames 016D,523750,605000
E09000021,Kingston upon Thames,E01003001,Kingston upon Thames 017D,475000,450000
E09000027,Richmond upon Thames,E01003814,Richmond upon Thames 019C,404420,555000
E09000028,Southwark,E01004027,Southwark 003E,1156688,602500
E09000030,Tower Hamlets,E01004290,Tower Hamlets 016D,343000,370000
E09000032,Wandsworth,E01004576,Wandsworth 013D,294500,557500
E09000022,Lambeth,E01003051,Lambeth 018C,487500,450000
E09000030,Tower Hamlets,E01032785,Tower Hamlets 010E,575000,
E09000008,Croydon,E01001070,Croydon 040B,427500,500000
E09000022,Lambeth,E01003124,Lambeth 006D,419050,553750
E09000014,Haringey,E01002002,Haringey 031C,435000,497500
E09000026,Redbridge,E01003765,Redbridge 009G,552775,580000
